Catagory_Name,productName,productPrice,productSize,productType,productURL,imageUrl,prodId,skuId
Maybelline New York Lash Sensational,Boosting Eyelash Serum clear,$12.29,0.18 fl oz ,Eyelash Enhancers,https://www.walgreens.com/store/c/maybelline-new-york-lash-sensational-boosting-eyelash-serum/ID=prod6381044-product,https://pics.drugstore.com/prodimg/610897/155.jpg,prod6381044,sku6317125
e.l.f.,Eye Crease Brush,$2.00,1 ea ,Makeup Brushes,https://www.walgreens.com/store/c/e.l.f.-eye-crease-brush/ID=prod6191634-product,https://pics.drugstore.com/prodimg/504084/155.jpg,prod6191634,sku6169118
Physicians Formula,Custom Eye Enhancing Eyeliner Trio Nude Eyes,$10.79,1 set ,Eyeshadow,https://www.walgreens.com/store/c/physicians-formula-shimmer-strips-custom-eye-enhancing-eyeliner-trio/ID=300389281-product,https://pics.drugstore.com/prodimg/392603/155.jpg,300389281,sku6127424
Wet n Wild,H2O Proof Liquid Liner Black,$4.29,0.17 oz ,Eyeliner,https://www.walgreens.com/store/c/wet-n-wild-h2o-proof-liquid-liner/ID=300388641-product?skuId=sku6260075,https://pics.drugstore.com/prodimg/570413/155.jpg,300388641,sku6260075
L'Oreal Paris,Bambi Eye Washable Mascara Black,$10.99,0.28 fl oz ,Mascara,https://www.walgreens.com/store/c/l'oreal-paris-bambi-eye-washable-mascara/ID=300397173-product?skuId=400618283,https://pics.drugstore.com/prodimg/618283/155.jpg,300397173,400618283
Almay,Shadow Trios Making Waves,$6.99,1 EA ,Eyeshadow,https://www.walgreens.com/store/c/almay-shadow-trios/ID=300396693-product?skuId=400617770,https://pics.drugstore.com/prodimg/617770/155.jpg,300396693,400617770
Wet n Wild,Eyeshadow Singles Envy,$1.19,1 ea ,Eyeshadow,https://www.walgreens.com/store/c/wet-n-wild-color-icon-collection-eyeshadow-singles/ID=prod6375192-product,https://pics.drugstore.com/prodimg/605748/155.jpg,prod6375192,sku6314118
Rimmel,Wow Wings Mascara Black,$7.49,0.4 fl oz ,Mascara,https://www.walgreens.com/store/c/rimmel-scandal-eyes-wow-wings-mascara/ID=prod6394121-product?skuId=sku6324261,https://pics.drugstore.com/prodimg/612222/155.jpg,prod6394121,sku6324261
Rimmel,Brow This Way Brow Sculpting Kit Medium Brown,$4.79,0.05 oz ,Eyebrow Makeup,https://www.walgreens.com/store/c/rimmel-brow-this-way-brow-sculpting-kit/ID=prod6408660-product,https://pics.drugstore.com/prodimg/558232/155.jpg,prod6408660,sku6238202
NYX Professional Makeup,"Dip, Shape, Go! Longwear Brow Pomade Chocolate",$11.00,0.04 oz ,Eyebrow Makeup,"https://www.walgreens.com/store/c/nyx-professional-makeup-dip,-shape,-go!-longwear-brow-pomade/ID=300402946-product?skuId=400624319",https://pics.drugstore.com/prodimg/624319/155.jpg,300402946,400624319
